RefDes,Name,Pattern,Value,Qty,
"C1,C2,C3,C33,C34",CAP,CAP_0603,100nF,5,
"C11,C22-C27,C29,C30,C45-C59,C61",CAP,CAP_0402,100nF,25,http://uk.mouser.com/ProductDetail/Murata-Electronics/GRM155R71E104KE14D/?qs=sGAEpiMZZMvsSlwiRhF8qg4BYYxG44hr5B2MrPlf%252bUw0Fd4UIWBlyg%3d%3d
"C12, C17, C19",CAP,CAP_1210,2.2uF,3,
C13,POLCAP,CAPAE-6.6x6.6h5.4,47uF,1,
C16,CAP,CAP_0805,22uF,1,http://uk.mouser.com/ProductDetail/Murata-Electronics/GRM219R61C226ME15L/?qs=sGAEpiMZZMvsSlwiRhF8qtKev7nvVKumljPF%2fWIWUYWmCt5x%252baDxog%3d%3d
C18,CAP,CAP_0603,30pF,1,http://uk.mouser.com/ProductDetail/Murata-Electronics/GRM1885C1H300JA01D/?qs=sGAEpiMZZMvsSlwiRhF8qiAl%252bCgQrCdeGMEXQ33Mr0U%3d
C20,CAP,CAP_0805,910pF,1,http://uk.mouser.com/ProductDetail/Murata-Electronics/GRM2165C1H911JA01D/?qs=sGAEpiMZZMvsSlwiRhF8qkVDlJT42SBGbBPIRyNRHTI%3d
C28,CAP,CAP_1206,10uF,1,
"C31,C32",CAP,CAP_0603,18pF,2,
"C35-C39,C14,C15",CAP,CAP_0603,10nF,7,
C40-C44,CAP,CAP_0603,470nF,5,http://uk.mouser.com/ProductDetail/Taiyo-Yuden/TMK107B7474KA-TR/?qs=sGAEpiMZZMvsSlwiRhF8qgJCQaFFkNE%2fQGmKC2CpyhI%3d
"C9,C10",POLCAP,CAPPR-5/12.5h20,1000uF,2,
D1,PDS760-13,PDS760-13,,1,http://uk.mouser.com/ProductDetail/Diodes-Incorporated/PDS760-13/?qs=%2fha2pyFadujDMQRer%252bptjLg%2f3472gLJqh1lbD36Uy1c%3d
